location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure
unit,°C,mm,%,km/h,%,hPa
level,2 m elevation corrected,sfc,2 m,sfc,sfc,MSL
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Gust,Basel Cloud Cover Total,Basel Mean Sea Level Pressure [MSL]
20240114T1400,0.1202454,0.0,69.17516,15.84,2.0,1012.5
20240114T1500,-0.9197546,0.0,81.01195,15.84,30.0,1011.7
20240114T1600,-1.7597545,0.0,81.05778,19.08,70.0,1011.1
20240114T1700,-1.1197546,0.0,77.496346,19.8,68.0,1010.5
20240114T1800,-0.75975454,0.0,76.97783,20.519999,65.0,1010.6
20240114T1900,-0.48975456,0.0,84.81446,22.319998,73.0,1010.9
20240114T2000,-0.6797546,0.0,87.23329,20.880001,54.0,1011.0
20240114T2100,-0.3097546,0.0,86.30788,20.880001,51.0,1010.9
20240114T2200,-0.51975465,0.0,89.55692,19.8,19.0,1011.2
20240114T2300,-0.49975455,0.0,89.02767,19.44,16.0,1011.1
20240115T0000,-1.0097545,0.0,89.907646,18.72,17.0,1010.7
20240115T0100,-1.0997546,0.0,89.36266,18.0,34.0,1010.7
20240115T0200,-1.0197546,0.0,86.28188,18.0,57.0,1010.4
20240115T0300,-1.1397547,0.0,85.87866,18.0,68.0,1010.5
20240115T0400,-0.61975455,0.0,84.037476,16.919998,73.0,1010.3
